empId,employeeName,type,status,location,territory,grade,account,sections,seating,projectManager,reportingManager,changedBy,profileTitle,designation,category
9105,Brandi Stehr,Contract,Inactive,Wisokybury,Delaware,L1.6,Account7,Section9,Seat96,Raquel Farrell,Henry Block,Admin,Regional Brand Designer,Executive,Engineering
2576,Alexis Funk-Crooks,FullTime,Inactive,North Marian,New Mexico,L1.2,Account2,Section1,Seat14,Caleb McKenzie,Roxanne Daugherty,Admin,Forward Research Architect,Engineer,Management
6143,Charles Stroman,PartTime,Active,Volkmantown,Alabama,L1.4,Account1,Section1,Seat18,Garrett Dare,Frank Davis-Hermiston,Admin,Principal Operations Developer,Engineer,Product
3527,Darren Kris,Contract,Inactive,Malikafort,Missouri,L1.6,Account10,Section8,Seat46,Maureen Brakus,Louis Hermann,Admin,Future Identity Facilitator,Specialist,Operations
8299,Irving Koss,FullTime,Inactive,New Nia,Texas,L1.5,Account6,Section4,Seat94,Shawna Smith,Natasha Deckow,Admin,Chief Implementation Designer,Representative,Operations
4314,Wayne Murazik,Contract,Active,Devinhaven,Vermont,L1.5,Account5,Section2,Seat78,Tara Gislason,Jackie Stark,Admin,Dynamic Paradigm Executive,Analyst,Product
1126,Angel Koelpin II,Contract,Inactive,Muellerville,California,L1.3,Account8,Section2,Seat4,Bridget Kautzer,Jeremy Weber,Admin,Dynamic Usability Orchestrator,Officer,Engineering
2503,Mrs. Melanie Cummings,PartTime,Active,Lake Gerard,Minnesota,L1.1,Account9,Section1,Seat24,Gloria Crist,Agnes Prosacco,Admin,Product Operations Coordinator,Technician,Quality Assurance
6470,Arturo Dare,FullTime,Active,Anastaciohaven,New Jersey,L1.2,Account1,Section4,Seat52,Bonnie Mosciski,Steve Witting,Admin,District Interactions Liaison,Strategist,Management
3269,Felicia Yost,PartTime,Inactive,Taylorsville,New York,L1.3,Account9,Section6,Seat76,Kurt Schneider,Sean Bernier,Admin,Central Integration Consultant,Agent,Operations
5543,Timothy Welch,PartTime,Active,Seattle,Wisconsin,L1.5,Account4,Section10,Seat25,Mitchell Lang,Susie Jacobson,Admin,Senior Optimization Liaison,Engineer,Engineering
3099,Kari Stark,Contract,Inactive,Breitenbergport,North Dakota,L1.2,Account3,Section8,Seat62,Kate Gutmann,Sergio Moore,Admin,Global Solutions Liaison,Orchestrator,Product
9865,Ms. Maxine Greenholt,PartTime,Inactive,Port Willie,Delaware,L1.4,Account3,Section2,Seat92,Mrs. Francis Lubowitz,Dr. Lorraine Ortiz,Admin,Corporate Factors Agent,Manager,Engineering
5518,Ken Rempel,PartTime,Inactive,West Amyshire,New Hampshire,L1.3,Account7,Section4,Seat87,Doug Schinner,Terry Beier,Admin,Customer Marketing Assistant,Supervisor,Product
2509,Annie Hilll,FullTime,Active,East Freida,Arkansas,L1.6,Account3,Section1,Seat72,Connie Mosciski,Jeffrey Mante,Admin,Principal Operations Producer,Assistant,Quality Assurance
4632,Dewey Frami V,Contract,Inactive,North Corabury,Maryland,L1.2,Account6,Section9,Seat79,Dennis Jaskolski,Meghan Kuphal V,Admin,District Accountability Executive,Orchestrator,Engineering
8400,Byron Daniel,FullTime,Active,New Ruby,Mississippi,L1.4,Account7,Section5,Seat52,Rudy Zemlak,Pamela Erdman,Admin,Senior Integration Assistant,Representative,Quality Assurance
2751,Sean Hintz,PartTime,Active,Sawaynview,Minnesota,L1.6,Account3,Section6,Seat98,Vernon Luettgen,Velma Stehr,Admin,Product Program Specialist,Liaison,Management
4322,Carmen Mann,Contract,Inactive,Breanneboro,Ohio,L1.6,Account5,Section8,Seat95,Delores Nienow,Ms. Miriam D'Amore,Admin,Global Communications Architect,Executive,Management
4845,Marion Zemlak-Stroman,FullTime,Inactive,Pfannerstillfort,Colorado,L1.6,Account7,Section8,Seat29,Lee Quitzon,Ms. Julia Rolfson,Admin,District Directives Supervisor,Engineer,Quality Assurance
3363,Mathew Heathcote,FullTime,Inactive,South Elvisborough,Rhode Island,L1.2,Account3,Section6,Seat89,Dallas Bartell DVM,Tiffany Pagac,Admin,Human Group Officer,Liaison,Management
9795,Randall Ernser,Contract,Active,Towneberg,Maryland,L1.4,Account4,Section6,Seat71,Dr. Joey Blick,Laurence DuBuque,Admin,Global Program Producer,Executive,Management
5088,Micheal Kilback I,FullTime,Inactive,Windlerside,Missouri,L1.5,Account5,Section7,Seat14,Courtney Jacobson,Carroll Rau,Admin,Internal Assurance Officer,Producer,Quality Assurance
7756,Ellen Moen,FullTime,Active,Taylor,Mississippi,L1.6,Account3,Section8,Seat12,Betty Botsford,Derek Heller,Admin,Investor Response Architect,Analyst,Operations
5558,Harvey Tremblay,PartTime,Active,Gibsonside,Tennessee,L1.4,Account7,Section8,Seat73,Terrence Bins,Benny Robel,Admin,Corporate Quality Engineer,Associate,Quality Assurance
4383,Dr. Lyle Wunsch,PartTime,Inactive,South Andrew,Maryland,L1.6,Account2,Section2,Seat66,Deborah Abbott III,Barbara Robel,Admin,Investor Factors Consultant,Director,Product
